Codigo de Lista,Código Producto Bimbo,Nombre del Producto,Marca,Categoria del producto,Precio Sin IVA,% IVA,Precio con IVA
10083,7606,Pan con Semillas 1p 600g BOLSA ORO,OROWEAT,Panificados Oroweat,"2,830",21.00,"3,425"
10083,7609,Pan con Cereales 1p 600g BOLSA ORO,OROWEAT,Panificados Oroweat,"2,830",21.00,"3,425"
10083,503969,P BcoArt Masa Madre CM 1p 500g BOLSA BIM,ARTESANO,Panificados Artesano,"2,396",21.00,"2,899"
10083,503994,P Int Art MasaMadre CM 1p 500g BOLSA BIM,ARTESANO,Panificados Artesano,"2,613",21.00,"3,162"
10083,27457,Pan Semillas Art CM 1p 500g BOLSA BIM,ARTESANO,Panificados Artesano,"2,613",21.00,"3,162"
10083,28585,Pan Hamb Papa Art CM 4P 240G BOLSA BIM,ARTESANO,Panificados Artesano,"1,577",21.00,"1,908"
10083,32571,Pan Hamb Brioche Art C 1p 240g BOLSA BIM,ARTESANO,Panificados Artesano,"1,577",21.00,"1,908"
10083,46327,Pan Hamb Artesano CM 1p 240g BOLSA BIM,ARTESANO,Panificados Artesano,"1,354",21.00,"1,638"
10083,47723,Pan Pancho Artesano CM 1p 240g BOLSA BIM,ARTESANO,Panificados Artesano,"1,354",21.00,"1,638"
10083,504255,Pan Pancho Papa Art CM 4P 240G BOLSA BIM,ARTESANO,Panificados Artesano,"1,577",21.00,"1,908"
10083,964639,Pan Blanco Cero Cero 1p 410g BOLSA BIM,BIMBO,Panificados Bimbo,"1,639",21.00,"1,983"
10083,964646,Pan Integral Cero Cero 1p 430g BOLSA BIM,BIMBO,Panificados Bimbo,"1,804",21.00,"2,183"
10083,964647,Pan Blanco Bim CM 1p 400g BOLSA BIM,BIMBO,Panificados Bimbo,"1,639",21.00,"1,983"
10083,964642,Pan Blanco CM 1p 610g BOLSA BIM,BIMBO,Panificados Bimbo,"2,215",21.00,"2,680"
10083,964638,Pan Integral CM 1p 420g BOLSA BIM,BIMBO,Panificados Bimbo,"1,804",21.00,"2,183"
10083,964641,Pan Integral 1p 640g BOLSA BIM,BIMBO,Panificados Bimbo,"2,442",21.00,"2,955"
10083,964645,Pan con Lino CM 1p 420g BOLSA BIM,BIMBO,Panificados Bimbo,"1,804",21.00,"2,183"
10083,27028,Pan Hamb Bimb C Ses CM 1p 210g BOLSA BIM,BIMBO,Panificados Bimbo,"1,115",21.00,"1,349"
10083,27233,Pan Pancho Bimbo CM 1p 210g BOLSA BIM,BIMBO,Panificados Bimbo,"1,115",21.00,"1,349"
10083,964709,Pan Lacteado Fargo 370g 1p BOLSA FAR,FARGO,Panificados Fargo,"1,479",21.00,"1,789"
10083,964705,Pan Lacteado Fargo 585g 1p BOLSA FAR,FARGO,Panificados Fargo,"1,999",21.00,"2,419"
10083,964706,Pan Lacteado Rodajas Finas Fargo 1p 585g BOLSA FAR,FARGO,Panificados Fargo,"1,999",21.00,"2,419"
10083,964710,Pan Lacteado Rodajas Finas Fargo 1p 370g BOLSA FAR,FARGO,Panificados Fargo,"1,479",21.00,"1,789"
10083,964708,Pan Salvado Fargo 390g 1p  BOLSA FAR,FARGO,Panificados Fargo,"1,639",21.00,"1,983"
10083,964707,Pan Salvado Fargo 620g 1p  BOLSA FAR,FARGO,Panificados Fargo,"2,215",21.00,"2,680"
10083,964711,Pan Integral Fargo 400g 1p  BOLSA FAR,FARGO,Panificados Fargo,"1,639",21.00,"1,983"
10083,964712,Pan con Cereales y Semillas Fargo 1p 400g  BOLSA FAR,FARGO,Panificados Fargo,"1,639",21.00,"1,983"
10083,21711,Pan Hamb con ses CM 1p 210g BOLSA FAR,FARGO,Panificados Fargo,"1,004",21.00,"1,215"
10083,21783,Pan Hamb sin ses CM 1p 210g BOLSA FAR,FARGO,Panificados Fargo,"1,004",21.00,"1,215"
10083,21707,Pan Pancho CM 1p 210g BOLSA FAR,FARGO,Panificados Fargo,"1,004",21.00,"1,215"
10083,504404,Super pancho 390g Bolsa FAR,FARGO,Panificados Fargo,"1,672",21.00,"2,023"
10083,4461,Pan Blanco 1p 315g BOLSA LCT,LACTAL,Panificados Lactal,972,21.00,"1,176"
10083,2927,Pan Blanco 1p 460g BOLSA LCT,LACTAL,Panificados Lactal,"1,384",21.00,"1,674"
10083,4462,Pan Salvado 1p 330g BOLSA LCT,LACTAL,Panificados Lactal,"1,065",21.00,"1,289"
10083,4509,Pan Salvado 1p 560g BOLSA LCT,LACTAL,Panificados Lactal,"1,603",21.00,"1,940"
10083,504142,Pan Semillado 1p 330g BOLSA LCT,LACTAL,Panificados Lactal,"1,219",21.00,"1,475"
10083,5520,Pan de Hamb SS 1p 210g BOLSA LCT,LACTAL,Panificados Lactal,793,21.00,960
10083,5295,Pan de Pancho 1p 210g BOLSA LCT,LACTAL,Panificados Lactal,793,21.00,960
10083,504145,Pan Blanco 1p 315g BOLSA BOH,BOH,Panificados Bimbo,972,21.00,"1,176"
10083,504152,Pan Salvado 1p 330g BOLSA BOH,BRIOSH,Pan Bimbo,"1,065",21.00,"1,289"
10083,504147,Pan Semillado 1p 330g BOLSA BOH,BRIOSH,Pan Bimbo,"1,219",21.00,"1,475"
10083,504151,Pan Hamburg Sin Sesamo 1p 210g BOLSA BOH,BRIOSH,Pan Bimbo,793,21.00,960
10083,504148,Pan Pancho Nv 1p 210g BOLSA BOH,BRIOSH,Pan Bimbo,793,21.00,960
10083,504144,Pan Superpancho 1p 390g BOLSA BOH,BRIOSH,Panificados Bimbo,"1,529",21.00,"1,850"
10083,21478,Rapiditas Clasic 1p 275g BOLSA BIM,BIMBO,Tortillas,"1,190",21.00,"1,440"
10083,23418,Rapiditas Integr Nvo 1p 275g BOLSA BIM,BIMBO,Tortillas,"1,190",21.00,"1,440"
10083,506405,Rapiditas Cero Cero 1p 275g BOLSA BIM,BIMBO,Tortillas,"1,190",21.00,"1,440"
10083,21483,Rapiditas Light Nvo 1p 275g BOLSA BIM,BIMBO,Tortillas,"1,190",21.00,"1,440"
10083,964511,Rapiditas XXL 1p 620g BOLSA BIM,BIMBO,Tortillas,"2,440",21.00,"2,953"
10083,964686,Fajitas 1p 220g BOLSA TR #PRUEBA#,#N/A,#N/A,727,21.00,880
10083,506549,Fajitas 1p 275g BOLSA TR,TIA ROSA,Tortillas,"1,190",21.00,"1,440"
10083,964836,Burrera Tia Rosa 1p 420g NC BOLSA TR,#N/A,#N/A,"2,142",21.00,"2,591"
10083,504450,Budín Artesano Banana con Nuez 350g,ARTESANO,Dulces Budines,"2,548",21.00,"3,083"
10083,504448,Budín Artesano Carrot Cake 350g,ARTESANO,Dulces Budines,"2,548",21.00,"3,083"
10083,506419,Madalena Vainilla Rellena DDL x1 BIMBO 32 GRAMOS,BIMBO,Dulces Madalenas,276,21.00,334
10083,506418,Madalena Chocolate Rellena DDL x1 BIMBO 32 GRAMOS,BIMBO,Dulces Madalenas,276,21.00,334
10083,964863,MadalenaVainilla Rell X1 1p 39g FLOW BIM,BIMBO,Dulces Madalenas,340,21.00,411
10083,2004,Madalenas Vainilla 12p 200g BIM,BIMBO,Dulces Madalenas,898,21.00,"1,087"
10083,2005,Madalenas Marmoladas 12p 200g BIM,BIMBO,Dulces Madalenas,898,21.00,"1,087"
10083,2006,Madalenas Rellenas DDL 14p 190g BIM,BIMBO,Dulces Madalenas,898,21.00,"1,087"
10083,2086,Madalenas Choc Rell DDL 14p 190g BIM,BIMBO,Dulces Madalenas,898,21.00,"1,087"
10083,964861,Madalena Vainilla 12p 240g FLOW BIM,BIMBO,Dulces Madalenas,"1,490",21.00,"1,803"
10083,964862,Madalena Vainilla Rell 12p 234g FLOW BIM,BIMBO,Dulces Madalenas,"1,490",21.00,"1,803"
10083,2636,Vainillas 1p CS 444g FLOW BIM,BIMBO,Dulces Vainillas,"1,782",21.00,"2,156"
10083,21148,Vainillas 1p CS 148g FLOW BIM,BIMBO,Dulces Vainillas,654,21.00,792
10083,21784,Vainilla 1p 74g BIM,BIMBO,Dulces Vainillas,365,21.00,441
10083,7138,Madalenas Vainilla 12p 200g FLOW VLT,VALENTE,Dulces Madalenas,791,21.00,957
10083,7171,Madalenas Marmoladas 12p 200g FLOW VLT,VALENTE,Dulces Madalenas,791,21.00,957
10083,7245,Madalenas Choco DDL 14p 200g FLOW VLT,VALENTE,Dulces Madalenas,791,21.00,957
10083,7247,Madalenas Chips Choco 14p 180g FLOW VLT,VALENTE,Dulces Madalenas,791,21.00,957
10083,7249,Madalenas Rellenas DDL 14p 200g FLOW VLT,VALENTE,Dulces Madalenas,791,21.00,957
10083,2529,Vainilla 1p 74g VLT,VALENTE,Dulces Vainillas,308,21.00,373
10083,2697,Vainillas CS 1p 444g FLOW VLT,VALENTE,Dulces Vainillas,"1,510",21.00,"1,828"
10083,2845,Vainillas CS 1p 148g FLOW VLT,VALENTE,Dulces Vainillas,557,21.00,673
10083,3725,Vainillas 148g FLOW BOH,BRIOSH,Panificados Bimbo,557,21.00,673
10083,964786,Braunichoc SabeBien! 1 pieza 35,SABE BIEN,Consumo,389,21.00,470
10083,964787,Brownie Mini SabeBien!  1p 35g,SABE BIEN,Consumo,389,21.00,470
10083,964798,Brownie Chips SabeBien! 1p 62g,SABE BIEN,Consumo,563,21.00,681
10083,964823,Salmas Horneadas 5p 90g ,SALMAS,Galletas,957,21.00,"1,157"
10083,515278,Takis Original 1p 49g FLOW BAR EXP,TAKIS,Snack,694,21.00,840
10083,515276,Takis Original 1p 85g FLOW BAR EXP,TAKIS,Snack,"1,043",21.00,"1,263"
10083,515273,Takis Original 1p 140g FLOW BAR EXP,TAKIS,Snack,"1,655",21.00,"2,002"
10083,515277,Takis Xplosion 1p 49g FLOW BAR EXP,TAKIS,Snack,694,21.00,840
10083,515275,Takis Xplosion 1p 85g FLOW BAR EXP,TAKIS,Snack,"1,043",21.00,"1,263"
10083,515272,Takis Xplosion 1p 140g FLOW BAR EXP,TAKIS,Snack,"1,655",21.00,"2,002"
10083,515282,Takis Fuego 1p 49g FLOW BAR EXP,TAKIS,Snack,694,21.00,840
10083,515274,Takis Fuego 1p 85g FLOW BAR EXP,TAKIS,Snack,"1,043",21.00,"1,263"
10083,515271,Takis Fuego 1p 140g FLOW BAR EXP,TAKIS,Snack,"1,655",21.00,"2,002"